,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.76,0.14386408516374055,0.79,0.13509002107415502,0.76,0.14386408516374055,0.73,0.17811449054628975,0.53,0.2912625967079049
1,['mutinf'],0.76,0.14997916521970645,0.8,0.13417067624197845,0.76,0.14997916521970645,0.74,0.18376550931428626,0.55,0.2970010469618121
2,['max_info'],0.77,0.14603483103355855,0.8,0.124208272438705,0.77,0.14603483103355855,0.74,0.1783582719994378,0.55,0.28531121871443765
3,['diferencias'],0.76,0.1477751670613165,0.79,0.13595381136240176,0.76,0.1477751670613165,0.74,0.18148988955974144,0.54,0.2968338114121265
4,['entropias'],0.77,0.14817114260206002,0.8,0.12637186757915056,0.77,0.14817114260206002,0.74,0.180087261186598,0.55,0.2917628776051588
5,['distancias'],0.76,0.14397265365339348,0.79,0.1353961567214988,0.76,0.14397265365339348,0.73,0.17811599436012707,0.53,0.2917256400238102
6,['sumas'],0.76,0.15155444566227677,0.79,0.13790463136336673,0.76,0.15155444566227677,0.74,0.18595463663471337,0.54,0.30177788862733557
7,"['list_m', 'mutinf']",0.76,0.14690026378465085,0.78,0.1486237306594765,0.76,0.14690026378465085,0.73,0.17934952215015568,0.53,0.3031764915712048
8,"['list_m', 'max_info']",0.76,0.13890756818834601,0.79,0.12303897905826738,0.76,0.13890756818834601,0.74,0.1688165368585448,0.54,0.2782504395676267
9,"['mutinf', 'max_info']",0.77,0.14869746971619927,0.8,0.12720452776920402,0.77,0.14869746971619927,0.74,0.18100886301568558,0.55,0.29241245352184886
10,"['list_m', 'diferencias']",0.76,0.14330229193910332,0.78,0.14529565363828273,0.76,0.14330229193910332,0.74,0.17663643715511837,0.53,0.2966106392471313
11,"['mutinf', 'diferencias']",0.76,0.1503069775492808,0.8,0.1354123782314878,0.76,0.1503069775492808,0.74,0.18383725261593625,0.54,0.298255606527113
12,"['max_info', 'diferencias']",0.77,0.14684707181282167,0.8,0.1298042394815277,0.77,0.14684707181282167,0.74,0.17863571689030555,0.55,0.2913103656083804
13,"['list_m', 'entropias']",0.76,0.1450700261942487,0.79,0.13074755078668615,0.76,0.1450700261942487,0.74,0.17672652959276253,0.54,0.29183370438271944
14,"['mutinf', 'entropias']",0.77,0.14843453944416038,0.8,0.12437598458394669,0.77,0.14843453944416038,0.74,0.17944088426809954,0.55,0.29143970874923497
15,"['max_info', 'entropias']",0.77,0.14766410362711715,0.8,0.1228604805769594,0.77,0.14766410362711715,0.74,0.178737765661035,0.56,0.28843491019581813
16,"['diferencias', 'entropias']",0.77,0.14860155408002973,0.8,0.12692594285911596,0.77,0.14860155408002973,0.74,0.18052793994945104,0.55,0.2927956777247166
17,"['list_m', 'distancias']",0.75,0.1332291259447423,0.78,0.13140198691269886,0.75,0.1332291259447423,0.73,0.16288784879104914,0.51,0.27808424790520436
18,"['mutinf', 'distancias']",0.76,0.14672865049130657,0.78,0.14839605370049405,0.76,0.14672865049130657,0.73,0.17959981955594145,0.53,0.3026346990545095
19,"['max_info', 'distancias']",0.76,0.13787449002625538,0.8,0.1228073939114282,0.76,0.13787449002625538,0.74,0.16783490263435333,0.54,0.27730423859459036
20,"['diferencias', 'distancias']",0.76,0.14335679919348088,0.78,0.14460481863488536,0.76,0.14335679919348088,0.74,0.17703273227708355,0.53,0.2956373687603855
21,"['entropias', 'distancias']",0.76,0.14431952397371603,0.8,0.12564064850094023,0.76,0.14431952397371603,0.74,0.17617028271310614,0.54,0.286399253265055
22,"['list_m', 'sumas']",0.76,0.14202222537335482,0.79,0.1346637729030477,0.76,0.14202222537335482,0.74,0.17593832489755107,0.53,0.2896092211153285
23,"['mutinf', 'sumas']",0.76,0.15185828097275433,0.79,0.13627514506903188,0.76,0.15185828097275433,0.74,0.18542403322807746,0.54,0.30069118248508364
24,"['max_info', 'sumas']",0.77,0.14796008752362916,0.8,0.12508891676587774,0.77,0.14796008752362916,0.74,0.1788336867058493,0.55,0.2878185969918792
25,"['diferencias', 'sumas']",0.76,0.14978630611641372,0.79,0.13684738558811152,0.76,0.14978630611641372,0.74,0.1837621804435719,0.54,0.29946130840738433
26,"['entropias', 'sumas']",0.76,0.14940507019509075,0.8,0.12642263583153998,0.76,0.14940507019509075,0.74,0.18168515848629763,0.55,0.29259891473780036
27,"['distancias', 'sumas']",0.76,0.14224209116854264,0.79,0.1350354158819473,0.76,0.14224209116854264,0.74,0.17615225805130316,0.53,0.29023075357439954
28,"['list_m', 'mutinf', 'max_info']",0.76,0.14021607209945655,0.79,0.12755329086010417,0.76,0.14021607209945655,0.74,0.17219244467856662,0.54,0.28487214706533504
29,"['list_m', 'mutinf', 'diferencias']",0.76,0.1461631686677598,0.78,0.14885283165232224,0.76,0.1461631686677598,0.73,0.1782920803250718,0.53,0.3028937203266599
30,"['list_m', 'max_info', 'diferencias']",0.76,0.13890756818834601,0.79,0.12328591178568088,0.76,0.13890756818834601,0.74,0.16880427898547518,0.54,0.27850201235381955
31,"['mutinf', 'max_info', 'diferencias']",0.77,0.14789539166248555,0.8,0.1264796251777807,0.77,0.14789539166248555,0.74,0.18025683617077654,0.55,0.29087894615323046
32,"['list_m', 'mutinf', 'entropias']",0.76,0.14825021079243025,0.8,0.12860961899127923,0.76,0.14825021079243025,0.74,0.17834145007361996,0.55,0.2931883594224212
