,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.66,0.11636419122737027,0.59,0.16974021801733682,0.66,0.11636419122737027,0.61,0.1525899779683827,0.32,0.23912562355526337
1,['mutinf'],0.66,0.1186446901466728,0.59,0.17203908265907922,0.66,0.1186446901466728,0.61,0.15535411495764115,0.33,0.24785160386396093
2,['max_info'],0.66,0.12051970793193949,0.6,0.1742682119730944,0.66,0.12051970793193949,0.62,0.15756027925305102,0.33,0.25025890635768405
3,['diferencias'],0.66,0.11765116605881983,0.59,0.17073529554071756,0.66,0.11765116605881983,0.61,0.15373720831322246,0.32,0.24260654171054227
4,['entropias'],0.66,0.11422291801560666,0.6,0.16626214638475104,0.66,0.11422291801560666,0.62,0.1508835517830928,0.33,0.23740702267771435
5,['distancias'],0.66,0.11761131695121858,0.59,0.17067224855954924,0.66,0.11761131695121858,0.61,0.15371296845194954,0.33,0.24114670147943326
6,['sumas'],0.66,0.11718541664814781,0.59,0.1714950271456627,0.66,0.11718541664814781,0.61,0.15427501398141885,0.32,0.2453471465523142
7,"['list_m', 'mutinf']",0.66,0.11743349181558042,0.59,0.17038009967781653,0.66,0.11743349181558042,0.61,0.1534344170861377,0.33,0.24090803857682733
8,"['list_m', 'max_info']",0.67,0.1185112731979536,0.6,0.1713558290193236,0.67,0.1185112731979536,0.62,0.15439943618598606,0.34,0.2406020128499791
9,"['mutinf', 'max_info']",0.67,0.12105493329476498,0.6,0.17477406169752777,0.67,0.12105493329476498,0.62,0.15798368444728347,0.33,0.25102209246785256
10,"['list_m', 'diferencias']",0.66,0.11362458745799697,0.59,0.16756951464232755,0.66,0.11362458745799697,0.61,0.15026106759566016,0.32,0.23467371976593213
11,"['mutinf', 'diferencias']",0.66,0.11824729119518974,0.59,0.1709889254582997,0.66,0.11824729119518974,0.61,0.15429869124660636,0.32,0.2439967965206625
12,"['max_info', 'diferencias']",0.67,0.12003254766937173,0.6,0.17379073865402467,0.67,0.12003254766937173,0.62,0.1570163513256909,0.34,0.24890118625537572
13,"['list_m', 'entropias']",0.66,0.11071324164254245,0.6,0.16394160331056887,0.66,0.11071324164254245,0.62,0.14770684478067536,0.33,0.2254825109454334
14,"['mutinf', 'entropias']",0.66,0.11775736441938565,0.59,0.173147089727746,0.66,0.11775736441938565,0.61,0.1560795330624616,0.32,0.2489699923996313
15,"['max_info', 'entropias']",0.67,0.11800920250133039,0.6,0.1696445664887294,0.67,0.11800920250133039,0.62,0.15444882559334905,0.34,0.24326876512715082
16,"['diferencias', 'entropias']",0.66,0.1139815637504592,0.6,0.16637274119324827,0.66,0.1139815637504592,0.62,0.1504625874658751,0.33,0.23231652798054317
17,"['list_m', 'distancias']",0.65,0.10955164307302742,0.59,0.1622850591987098,0.65,0.10955164307302742,0.61,0.14521893244026687,0.31,0.22265605207224126
18,"['mutinf', 'distancias']",0.66,0.11860352808833301,0.59,0.17126357615591875,0.66,0.11860352808833301,0.61,0.1546241744684235,0.33,0.24311162346330256
19,"['max_info', 'distancias']",0.67,0.12060232947584386,0.6,0.17299980229369644,0.67,0.12060232947584386,0.62,0.15626986736254836,0.34,0.24751425991381554
20,"['diferencias', 'distancias']",0.66,0.11569085962166588,0.59,0.1691808669698895,0.66,0.11569085962166588,0.61,0.15214508353775028,0.32,0.23787879738006762
21,"['entropias', 'distancias']",0.66,0.11370706607330963,0.6,0.16593293187086353,0.66,0.11370706607330963,0.61,0.1501800460662573,0.33,0.23162598917384494
22,"['list_m', 'sumas']",0.66,0.11646485521392279,0.59,0.17037650797941203,0.66,0.11646485521392279,0.61,0.15313921357866758,0.32,0.23938967743307424
23,"['mutinf', 'sumas']",0.66,0.11973930014828045,0.59,0.17354641050966974,0.66,0.11973930014828045,0.61,0.15682026249073167,0.32,0.25074548671360636
24,"['max_info', 'sumas']",0.66,0.12032508051108881,0.6,0.17500271342996213,0.66,0.12032508051108881,0.62,0.15775572567132443,0.33,0.24987586873212062
25,"['diferencias', 'sumas']",0.66,0.11738691366587672,0.59,0.1712650655909809,0.66,0.11738691366587672,0.61,0.15445576080721987,0.32,0.24622815089122388
26,"['entropias', 'sumas']",0.66,0.11446035066781858,0.6,0.16640382795654932,0.66,0.11446035066781858,0.62,0.15102485080730768,0.33,0.23816465708443205
27,"['distancias', 'sumas']",0.66,0.11824729119518974,0.59,0.17188480995756875,0.66,0.11824729119518974,0.61,0.1545906230802676,0.32,0.24243564085348798
28,"['list_m', 'mutinf', 'max_info']",0.67,0.11705200500205025,0.6,0.1700717268592389,0.67,0.11705200500205025,0.62,0.15329025205892224,0.34,0.23789619123779301
29,"['list_m', 'mutinf', 'diferencias']",0.66,0.11496432870677756,0.59,0.16790627297848706,0.66,0.11496432870677756,0.61,0.15094678368984404,0.32,0.23675444053631406
30,"['list_m', 'max_info', 'diferencias']",0.66,0.11662406216128815,0.59,0.17012146455021465,0.66,0.11662406216128815,0.62,0.1532724717184047,0.33,0.23964317374793428
31,"['mutinf', 'max_info', 'diferencias']",0.67,0.12003254766937173,0.6,0.17345824664530077,0.67,0.12003254766937173,0.62,0.15677846910468748,0.34,0.24581573465134177
32,"['list_m', 'mutinf', 'entropias']",0.66,0.11983060961206865,0.59,0.17499183018849337,0.66,0.11983060961206865,0.61,0.1576048896381139,0.33,0.25174382401504625
33,"['list_m', 'max_info', 'entropias']",0.66,0.11750000000000001,0.6,0.1701570355850399,0.66,0.11750000000000001,0.62,0.153406444429807,0.34,0.23866354417902189
34,"['mutinf', 'max_info', 'entropias']",0.66,0.11891435994025279,0.59,0.17385007315107143,0.66,0.11891435994025279,0.61,0.15696505154837725,0.33,0.25007844309707195
35,"['list_m', 'diferencias', 'entropias']",0.66,0.11201283408609927,0.6,0.1653466949145938,0.66,0.11201283408609927,0.62,0.1488649574349507,0.33,0.22795435649594512
36,"['mutinf', 'diferencias', 'entropias']",0.66,0.11853763906456041,0.6,0.17111613696067932,0.66,0.11853763906456041,0.62,0.15550065075020014,0.33,0.24636531774312953
37,"['max_info', 'diferencias', 'entropias']",0.67,0.11920308301382142,0.6,0.17103659664635948,0.67,0.11920308301382142,0.62,0.15549552257649002,0.34,0.24548802722237156
38,"['list_m', 'mutinf', 'distancias']",0.66,0.11377060252982753,0.59,0.16523497406553098,0.66,0.11377060252982753,0.61,0.14917088736047893,0.32,0.23065798351111078
39,"['list_m', 'max_info', 'distancias']",0.65,0.11144470321643823,0.59,0.1633048904865036,0.65,0.11144470321643823,0.61,0.14652678487590962,0.31,0.22540168920226264
40,"['mutinf', 'max_info', 'distancias']",0.67,0.12055211528629432,0.6,0.17304115395481717,0.67,0.12055211528629432,0.62,0.15641321973179687,0.34,0.24748701705369516
41,"['list_m', 'diferencias', 'distancias']",0.64,0.10723076750634586,0.58,0.15200120660095218,0.64,0.10723076750634586,0.6,0.13816022210910098,0.29,0.20886721814500167
42,"['mutinf', 'diferencias', 'distancias']",0.66,0.11618109517042778,0.59,0.16866141354959396,0.66,0.11618109517042778,0.61,0.15196635673681388,0.32,0.2388170021995256
43,"['max_info', 'diferencias', 'distancias']",0.66,0.11928170438084794,0.6,0.1720722823543693,0.66,0.11928170438084794,0.62,0.15543198059484398,0.34,0.24422374179785392
44,"['list_m', 'entropias', 'distancias']",0.66,0.10654371168680019,0.59,0.15156547900230088,0.66,0.10654371168680019,0.61,0.13978072132599562,0.32,0.2082152419797509
