,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
0,['list_m'],0.76,0.038104855096610366,0.77,0.03799181943011548,0.76,0.038104855096610366,0.76,0.037202965985448505,0.58,0.06495600093724493
1,['mutinf'],0.76,0.03743471151263124,0.77,0.03683793651982333,0.76,0.03743471151263124,0.76,0.03656008609405322,0.58,0.065022813704194
2,['max_info'],0.76,0.03803520154752766,0.77,0.03818574039473033,0.76,0.03803520154752766,0.76,0.03726463655807877,0.58,0.06261843586326292
3,['diferencias'],0.76,0.03941413713009173,0.77,0.03950631317665422,0.76,0.03941413713009173,0.76,0.038674973192535766,0.58,0.06581650755200343
4,['entropias'],0.76,0.038774266399888936,0.77,0.03897156603762858,0.76,0.038774266399888936,0.76,0.03796483045667893,0.58,0.06532886539859378
5,['distancias'],0.76,0.03811924224090999,0.77,0.037972382064679545,0.76,0.03811924224090999,0.76,0.037199587803870796,0.58,0.0650628984027788
6,['sumas'],0.77,0.039460104866557655,0.78,0.03889553086926339,0.77,0.039460104866557655,0.76,0.03856782269064461,0.58,0.06666576785615487
7,['mearts'],0.76,0.039534669373570946,0.78,0.03963429460271186,0.76,0.039534669373570946,0.76,0.03875711000789606,0.58,0.06641319800272412
8,"['list_m', 'mutinf']",0.76,0.03671625714350243,0.77,0.03625458421311441,0.76,0.03671625714350243,0.76,0.035899295098921806,0.58,0.06434453399955546
9,"['list_m', 'max_info']",0.76,0.037813589130166914,0.77,0.03797893502834959,0.76,0.037813589130166914,0.76,0.03704120951957044,0.58,0.0621551016828012
10,"['mutinf', 'max_info']",0.76,0.035700122182321915,0.77,0.035438513109885,0.76,0.035700122182321915,0.76,0.034602091931654505,0.57,0.060689060907594856
11,"['list_m', 'diferencias']",0.76,0.039556008126155555,0.77,0.03975436581793263,0.76,0.039556008126155555,0.76,0.038834018811538744,0.58,0.06639949870282506
12,"['mutinf', 'diferencias']",0.77,0.03755852765501107,0.78,0.03701440981774427,0.77,0.03755852765501107,0.76,0.036691057011985044,0.58,0.06446136647351836
